lesson	hanji	source_media	target	duration
B1L1	傱	media3.mp3	audio/tsong.mp3	1.368
B1L1	聊聊仔	media4.mp3	audio/liau-liau-a.mp3	1.248
B1L1	數念	media5.mp3	audio/siau-liam.mp3	1.128
B1L1	勻勻仔	media7.mp3	audio/un-un-a.mp3	0.960
B1L1	烰	media8.mp3	audio/phu.mp3	1.200
B1L1	滒	media10.mp3	audio/ko.mp3	1.128
B1L1	沿	media11.mp3	audio/ian.mp3	1.032
B1L1	仝款	media12.mp3	audio/kang-khuan.mp3	0.888
B1L1	七娘媽	media15.mp3	audio/tshit-niu-ma.mp3	2.136
B1L1	硩	media16.mp3	audio/teh.mp3	0.480
B1L1	揤	media17.mp3	audio/tshih.mp3	0.600
B1L1	凹	media18.mp3	audio/nah.mp3	0.432
B1L1	貯	media19.mp3	audio/te.mp3	1.272
B1L1	秫米	media21.mp3	audio/tsut-bi.mp3	0.744
B1L1	浸	media22.mp3	audio/tsim.mp3	0.816
B1L1	挨米	media23.mp3	audio/e-bi.mp3	1.968
B1L1	粿粞	media24.mp3	audio/kue-tshe.mp3	3.840
B1L1	搙	media25.mp3	audio/jiok.mp3	0.912
B1L1	捻	media26.mp3	audio/liam.mp3	0.672
B1L1	糋	media27.mp3	audio/tsinn.mp3	0.984
B1L2	歇熱	media3.mp3	audio/hioh-juah.mp3	0.912
B1L2	不而過	media4.mp3	audio/put-ji-ko.mp3	3.936
B1L2	磕袂著	media5.mp3	audio/khap-be-tioh.mp3	3.432
B1L2	熁	media6.mp3	audio/hannh.mp3	3.432
B1L2	蹛一暝	media8.mp3	audio/tua-tsit-me.mp3	3.984
B1L2	衝	media10.mp3	audio/tshing.mp3	0.864
B1L2	磅空	media11.mp3	audio/pong-khang.mp3	0.864
B1L2	別搭	media12.mp3	audio/pat-tah.mp3	1.176
B1L2	賰	media13.mp3	audio/tshun.mp3	0.936
B1L2	魴魚	media15.mp3	audio/hang-hi.mp3	1.248
B1L2	徛鵝	media16.mp3	audio/khia-go.mp3	3.624
B1L2	箍一輾	media19.mp3	audio/khoo-tsit-lian.mp3	1.104
B1L2	𢯾	media21.mp3	audio/mooh.mp3	1.392
B1L2	棉襀被	media22.mp3	audio/mi-tsioh-phue.mp3	1.200
B1L2	下昏暗	media23.mp3	audio/e-hng-am.mp3	3.960
B1L2	隔轉工	media24.mp3	audio/keh-tng-kang.mp3	0.552
B1L2	記持	media26.mp3	audio/ki-ti.mp3	1.104
B1L3	四秀仔	media3.mp3	audio/si-siu-a.mp3	1.104
B1L3	買物	media4.mp3	audio/be-mih.mp3	2.472
B1L3	食食	media5.mp3	audio/tsiah-sit.mp3	0.696
B1L3	撋	media6.mp3	audio/nua.mp3	0.552
B1L3	櫼	media7.mp3	audio/tsinn.mp3	0.744
B1L3	頂懸	media9.mp3	audio/ting-kuan.mp3	1.056
B1L3	啖糝	media10.mp3	audio/tam-sam.mp3	1.008
B1L3	𨑨迌	media11.mp3	audio/tshit-tho.mp3	0.888
B1L3	散赤	media13.mp3	audio/san-tshiah.mp3	0.960
B1L3	按算	media14.mp3	audio/an-sng.mp3	0.960
B1L3	趁錢	media15.mp3	audio/than-tsinn.mp3	1.248
B1L3	紩	media16.mp3	audio/thinn.mp3	0.864
B1L3	手橐仔	media17.mp3	audio/tshiu-lok-a.mp3	1.560
B1L3	蹛	media19.mp3	audio/tua.mp3	0.720
B1L3	尾仔囝	media21.mp3	audio/bue-a-kiann.mp3	3.072
B1L3	暝日	media22.mp3	audio/me-jit.mp3	2.688
B1L3	數簿	media24.mp3	audio/siau-phoo.mp3	1.296
B1L3	儉	media25.mp3	audio/khiam.mp3	0.912
B1L3	央	media26.mp3	audio/iang.mp3	0.912
B1L3	寡	media28.mp3	audio/kua.mp3	0.576
B1L4	慣勢	media3.mp3	audio/kuan-si.mp3	0.864
B1L4	紮	media4.mp3	audio/tsah.mp3	0.504
B1L4	烏西	media6.mp3	audio/oo-se.mp3	0.984
B1L4	袂	media8.mp3	audio/be.mp3	2.928
B1L4	佮	media9.mp3	audio/kah.mp3	0.336
B1L4	濟	media10.mp3	audio/tse.mp3	2.592
B1L4	䆀	media12.mp3	audio/bai.mp3	0.528
