array	hanji	old_audio
WORDS_B1L1	湠	audio/thuann.mp3
WORDS_B1L1	現此時	audio/hian-tshu-si.mp3
WORDS_B1L1	定著	audio/tiann-tioh.mp3
WORDS_B1L1	𤆬	audio/tshua.mp3
WORDS_B1L1	幼秀	audio/iu-siu.mp3
WORDS_B1L1	意愛	audio/i-ai.mp3
WORDS_B1L1	遐爾	audio/hiah-ni.mp3
WORDS_B1L1	落尾	audio/loh-bue.mp3
WORDS_B1L1	紲落來	audio/sua-loh-lai.mp3
WORDS_B1L2	所在	audio/soo-tsai.mp3
WORDS_B1L2	泅	audio/siu.mp3
WORDS_B1L2	鬥陣	audio/tau-tin.mp3
WORDS_B1L2	四界	audio/si-ke.mp3
WORDS_B1L2	翕	audio/hip.mp3
WORDS_B1L2	𤆬	audio/tshua.mp3
WORDS_B1L2	紲落來	audio/sua-loh-lai.mp3
WORDS_B1L2	誠實	audio/tsiann-sit.mp3
WORDS_B1L3	氣力	audio/khui-lat.mp3
WORDS_B1L3	擲	audio/tan.mp3
WORDS_B1L3	利便	audio/li-pian.mp3
WORDS_B1L3	炊	audio/tshue.mp3
WORDS_B1L3	枵	audio/iau.mp3
WORDS_B1L3	所費	audio/soo-hui.mp3
WORDS_B1L3	擘	audio/peh.mp3
WORDS_B1L3	捌	audio/bat.mp3
WORDS_B1L3	硩年錢	audio/teh-ni-tsinn.mp3
WORDS_B1L3	儉錢	audio/khiam-tsinn.mp3
WORDS_B3L1	礙虐	audio/gai-gioh.mp3
WORDS_B3L1	攑頭	audio/giah-thau.mp3
WORDS_B3L1	四箍輾轉	audio/si-khoo-lian-tng.mp3
WORDS_B3L1	鼻芳	audio/phinn-phang.mp3
WORDS_B3L1	踅街	audio/seh-ke.mp3
WORDS_B3L1	電火	audio/tian-hue.mp3
WORDS_B3L1	斟酌	audio/tsim-tsiok.mp3
